id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26754687,Family Friendly Character Apartment-Top City Views,198158791,Joel,,Melbourne,-37.80527,144.94173,Entire home/apt,130,3,2,2018-08-16,0.04,1,0,0,
26757568,1 Mins Walk to Train  & 10 Mins to Airport !!,71042301,Eshaan,,Moreland,-37.69717,144.91603,Private room,47,1,5,2021-11-16,0.15,1,26,3,
26757860,Cosy city Apartment,94514012,Saphire,,Melbourne,-37.81264,144.95321,Entire home/apt,108,1,187,2022-02-17,4.25,2,141,11,
26760699,Walk to Flagstaff Gardens and CBD,51704371,James,,Melbourne,-37.81025,144.95042,Entire home/apt,133,3,94,2022-02-20,2.13,18,144,11,
26765826,Modern 1BR /w Parking next to South Yarra station,8250963,Ben,,Stonnington,-37.83683,144.99228,Entire home/apt,110,7,25,2020-12-29,0.58,1,0,0,
26766743,Relax in Open Parkland View Room Cosy  Comfortable,127453578,Pin,,Wyndham,-37.87449,144.74745,Private room,40,2,0,,,3,89,0,
26766930,Private Room Cosy Clean Comfortable with Ensuite.,127453578,Pin,,Wyndham,-37.87516,144.74586,Private room,50,2,2,2019-01-25,0.05,3,89,0,
26767770,Pride Docklands Waterfront Apt City View Free Parking * 55'SmartTV,34247003,Juliet & Malcom,,Melbourne,-37.81998,144.94336,Entire home/apt,295,1,14,2021-03-28,0.36,31,57,2,
26769328,Brilliant Waterfront 3B Apartment Free tram &Parking Netflix & Foxtel,34247003,Juliet & Malcom,,Melbourne,-37.82004,144.94394,Entire home/apt,274,2,56,2022-02-26,1.40,31,5,15,
26785512,High above the Gems of the Emerald!,55324450,Bruce,,Port Phillip,-37.83469,144.97211,Entire home/apt,295,1,21,2022-03-05,0.52,60,264,11,
